Scn , Algo , IS , Ndrones , wCoverage , wDist , OOPenalty , InitCov , FinCov , InitTotDist , FinTotDist , InitMeanDist , FinMeanDist , InitMedianDist , FinMedianDist , InitOverflow , FinOverflow , InitOverlap , FinOverlap , Time
s3 , GA , 0 , 8 , 1 , 0.5 , 1 , 75.61 , 80.6 , 2457.351 , 2227.578 , 307.1689 , 278.4472 , 306.4045 , 276.0048 , 37.46 , 2.37 , 0.05 , 2.22 , 502.833
s3 , GA , 1 , 10 , 1 , 0.5 , 1 , 67.29 , 85.37 , 3112.844 , 2561.078 , 311.2844 , 256.1078 , 329.6332 , 267.8475 , 51.66 , 2.02 , 0.13 , 3.73 , 203.994
s3 , GA , 1 , 12 , 1 , 0.5 , 1 , 73.98 , 85.47 , 3518.392 , 3423.383 , 293.1993 , 285.2819 , 301.786 , 287.7984 , 40.03 , 2.42 , 0.08 , 3.28 , 1156.612
s3 , GA , 1 , 2 , 1 , 0.5 , 1 , 21.94 , 37.74 , 475.5999 , 500.1902 , 237.8 , 250.0951 , 237.8 , 250.0951 , 78.44 , 0.24 , 0 , 0.01 , 163.476
s3 , GA , 1 , 4 , 1 , 0.5 , 1 , 57.24 , 65.85 , 1322.591 , 1083.501 , 330.6476 , 270.8753 , 335.7056 , 276.0894 , 36.72 , 1.21 , 0.04 , 0.19 , 200.942
s3 , GA , 1 , 6 , 1 , 0.5 , 1 , 69.59 , 77.55 , 1760.005 , 1530.649 , 293.3342 , 255.1081 , 287.3185 , 251.54 , 45.97 , 2.56 , 0.04 , 1.38 , 325.477
s3 , GA , 1 , 8 , 1 , 0.5 , 1 , 75.61 , 81.8 , 2457.351 , 2306.312 , 307.1689 , 288.289 , 306.4045 , 276.5034 , 37.46 , 2.41 , 0.05 , 3.2 , 445.347
s3 , GenSA , 0 , 10 , 1 , 0.5 , 1 , 67.29 , 85.29 , 3112.844 , 2310.302 , 311.2844 , 231.0302 , 329.6332 , 200.4765 , 51.66 , 3.6 , 0.13 , 4.21 , 78.425
s3 , GenSA , 0 , 12 , 1 , 0.5 , 1 , 73.98 , 84.48 , 3518.392 , 2669.102 , 293.1993 , 222.4251 , 301.786 , 233.001 , 40.03 , 4.06 , 0.08 , 3.97 , 235.995
s3 , GenSA , 0 , 2 , 1 , 0.5 , 1 , 21.94 , 40.04 , 475.5999 , 508.6968 , 237.8 , 254.3484 , 237.8 , 254.3484 , 78.44 , 0.04 , 0 , 0 , 699.624
s3 , GenSA , 0 , 4 , 1 , 0.5 , 1 , 57.24 , 72.43 , 1322.591 , 1129.368 , 330.6476 , 282.342 , 335.7056 , 282.2059 , 36.72 , 1.02 , 0.04 , 0.9 , 1000.767
s3 , GenSA , 0 , 6 , 1 , 0.5 , 1 , 69.59 , 82.43 , 1760.005 , 1413.543 , 293.3342 , 235.5905 , 287.3185 , 258.8757 , 45.97 , 2.32 , 0.04 , 2.06 , 144.125
s3 , GenSA , 0 , 8 , 1 , 0.5 , 1 , 75.61 , 76.96 , 2457.351 , 1638.372 , 307.1689 , 204.7965 , 306.4045 , 218.0823 , 37.46 , 0.82 , 0.05 , 1.4 , 189.014
s3 , GenSA , 1 , 10 , 1 , 0.5 , 1 , 67.29 , 85.19 , 3112.844 , 2257.089 , 311.2844 , 225.7089 , 329.6332 , 249.8214 , 51.66 , 2.72 , 0.13 , 5.56 , 110.396
s3 , GenSA , 1 , 12 , 1 , 0.5 , 1 , 73.98 , 89.66 , 3518.392 , 2776.799 , 293.1993 , 231.4 , 301.786 , 228.8287 , 40.03 , 7.03 , 0.08 , 5.24 , 145.894
s3 , GenSA , 1 , 2 , 1 , 0.5 , 1 , 21.94 , 40.04 , 475.5999 , 507.3471 , 237.8 , 253.6735 , 237.8 , 253.6735 , 78.44 , 0.04 , 0 , 0 , 716.178
s3 , GenSA , 1 , 4 , 1 , 0.5 , 1 , 57.24 , 70.9 , 1322.591 , 1097.269 , 330.6476 , 274.3172 , 335.7056 , 272.2212 , 36.72 , 0.44 , 0.04 , 0.6 , 1000.918
s3 , GenSA , 1 , 6 , 1 , 0.5 , 1 , 69.59 , 72.73 , 1760.005 , 1275.024 , 293.3342 , 212.5041 , 287.3185 , 210.3872 , 45.97 , 0.58 , 0.04 , 0.63 , 1000.72
s3 , GenSA , 1 , 8 , 1 , 0.5 , 1 , 75.61 , 84.85 , 2457.351 , 1985.025 , 307.1689 , 248.1282 , 306.4045 , 269.2607 , 37.46 , 2.46 , 0.05 , 3.52 , 179.229
s3 , DEoptim , 0 , 10 , 1 , 0.5 , 1 , 67.29 , 85.91 , 3112.844 , 2335.383 , 311.2844 , 233.5383 , 329.6332 , 256.8218 , 51.66 , 5.48 , 0.13 , 4.71 , 532.004
s3 , DEoptim , 0 , 12 , 1 , 0.5 , 1 , 73.98 , 85.36 , 3518.392 , 3011.189 , 293.1993 , 250.9324 , 301.786 , 240.8482 , 40.03 , 6.54 , 0.08 , 7.92 , 602.031
s3 , DEoptim , 0 , 2 , 1 , 0.5 , 1 , 21.94 , 40.04 , 475.5999 , 508.3166 , 237.8 , 254.1583 , 237.8 , 254.1583 , 78.44 , 0.04 , 0 , 0 , 39.784
s3 , DEoptim , 0 , 4 , 1 , 0.5 , 1 , 57.24 , 71.23 , 1322.591 , 1177.953 , 330.6476 , 294.4881 , 335.7056 , 307.4388 , 36.72 , 1.96 , 0.04 , 0.68 , 189.84
s3 , DEoptim , 0 , 6 , 1 , 0.5 , 1 , 69.59 , 84.73 , 1760.005 , 1673.829 , 293.3342 , 278.9715 , 287.3185 , 269.6928 , 45.97 , 4.1 , 0.04 , 3.63 , 390.513
s3 , DEoptim , 0 , 8 , 1 , 0.5 , 1 , 75.61 , 76.98 , 2457.351 , 1688.086 , 307.1689 , 211.0108 , 306.4045 , 228.3509 , 37.46 , 2.55 , 0.05 , 2.77 , 647.313
s4 , GA , 0 , 10 , 1 , 0.5 , 0 , 67.29 , 99.51 , 3112.844 , 2763.189 , 311.2844 , 276.3189 , 329.6332 , 284.163 , 51.66 , 23.17 , 0.13 , 24.49 , 894.399
